2025-05-21,03:28:19,media
2025-05-21,03:28:25,None
2025-05-21,03:28:29,None
2025-05-21,03:29:13,None
2025-05-21,03:29:18,media
2025-05-21,03:29:22,media
2025-05-21,03:29:26,media
2025-05-21,03:29:30,None
2025-05-21,03:29:34,None
2025-05-21,03:42:07,speech
2025-05-21,03:42:11,speech
2025-05-21,03:45:28,None
2025-05-21,03:45:32,None
2025-05-21,12:11:10,None
2025-05-21,12:11:14,speech
2025-05-21,12:11:18,speech
2025-05-21,12:11:21,None
2025-05-21,12:22:53,None
2025-05-21,12:22:57,None
2025-05-21,12:25:23,None
2025-05-21,12:25:27,None
2025-05-21,12:25:31,None
2025-05-21,12:26:00,None
2025-05-21,12:26:04,None
2025-05-21,12:26:08,None
2025-05-21,12:28:56,None
2025-05-21,12:29:00,speech
2025-05-21,12:29:04,None
2025-05-21,12:29:14,speech
2025-05-21,12:29:18,speech
2025-05-21,12:43:18,None
2025-05-21,12:43:22,None
2025-05-21,12:43:30,None
2025-05-21,13:59:17,media
2025-05-21,14:00:30,None
2025-05-21,14:00:34,None
2025-05-21,14:00:37,None
2025-05-21,14:00:41,None
2025-05-21,14:00:44,None
2025-05-21,14:00:48,None
2025-05-21,14:00:52,None
2025-05-21,14:00:55,None
2025-05-21,14:00:59,None
2025-05-21,14:01:02,None
2025-05-21,14:01:06,None
2025-05-21,14:01:10,None
2025-05-21,14:01:13,None
2025-05-21,14:01:17,None
2025-05-21,14:01:20,None
2025-05-21,14:01:24,None
2025-05-21,14:01:27,None
2025-05-21,14:01:31,None
2025-05-21,14:01:35,None
2025-05-21,14:01:38,None
2025-05-21,14:01:42,None
2025-05-21,14:01:45,None
2025-05-21,14:01:49,None
2025-05-21,14:01:52,None
2025-05-21,14:01:56,None
2025-05-21,14:02:00,None
2025-05-21,14:02:03,None
2025-05-21,14:02:07,None
2025-05-21,14:02:10,None
2025-05-21,14:11:56,None
2025-05-21,14:12:00,None
2025-05-21,14:52:19,None
